City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hithadhoo,-0.6,73.0833,80.78,66,0,3.06,MV,2022-09-16 00:45:21
1,Mataura,-46.1927,168.8643,46.47,52,92,4.9,NZ,2022-09-16 00:45:21
2,Bredasdorp,-34.5322,20.0403,53.42,92,18,3.65,ZA,2022-09-16 00:45:22
3,Ushuaia,-54.8,-68.3,35.26,87,40,26.46,AR,2022-09-16 00:45:23
4,Solnechnyy,50.7214,136.6319,57.4,51,99,2.53,RU,2022-09-16 00:45:23
5,Miri,4.4148,114.0089,78.94,89,40,6.91,MY,2022-09-16 00:40:34
6,Arraial Do Cabo,-22.9661,-42.0278,66.33,91,100,10.27,BR,2022-09-16 00:45:24
7,Chapais,49.7834,-74.8492,44.38,68,100,8.75,CA,2022-09-16 00:45:24
8,Buraydah,26.326,43.975,86.45,20,0,6.69,SA,2022-09-16 00:45:25
9,Evensk,61.95,159.2333,48.78,43,74,8.88,RU,2022-09-16 00:45:25
10,Atuona,-9.8,-139.0333,76.91,68,1,17.05,PF,2022-09-16 00:45:25
11,Mazatlan,23.2167,-106.4167,88.02,84,20,10.36,MX,2022-09-16 00:40:39
12,Almeirim,-1.5233,-52.5817,81.48,60,82,6.91,BR,2022-09-16 00:45:26
13,Narsaq,60.9167,-46.05,52.02,80,100,4.88,GL,2022-09-16 00:45:26
14,Port Alfred,-33.5906,26.891,60.19,97,96,5.44,ZA,2022-09-16 00:45:27
15,Olinala,17.8333,-98.85,66.49,90,100,2.13,MX,2022-09-16 00:45:27
16,Nancha,47.1333,129.2667,64.94,67,100,2.73,CN,2022-09-16 00:45:28
17,Garden City,42.3256,-83.331,68.25,78,20,6.91,US,2022-09-16 00:45:28
18,Longyearbyen,78.2186,15.6401,30.04,86,75,2.3,SJ,2022-09-16 00:41:35
19,Adrar,20.5022,-10.0711,89.62,21,5,12.39,MR,2022-09-16 00:45:29
20,Lagoa,39.05,-27.9833,73.0,91,80,18.32,PT,2022-09-16 00:45:30
21,Avarua,-21.2078,-159.775,78.85,65,27,19.57,CK,2022-09-16 00:45:30
22,Punta Arenas,-53.15,-70.9167,37.51,65,0,14.97,CL,2022-09-16 00:43:03
23,Barrow,71.2906,-156.7887,35.62,93,100,29.93,US,2022-09-16 00:45:31
24,Cabatuan,10.8794,122.486,76.5,91,100,7.83,PH,2022-09-16 00:45:31
25,Puerto Escondido,15.85,-97.0667,76.21,89,100,6.2,MX,2022-09-16 00:45:32
26,Riyadh,24.6877,46.7219,84.34,27,23,8.19,SA,2022-09-16 00:41:49
27,Busselton,-33.65,115.3333,58.12,72,62,8.46,AU,2022-09-16 00:45:32
28,Bethel,41.3712,-73.414,63.48,74,0,3.44,US,2022-09-16 00:45:33
29,Killybegs,54.6333,-8.45,53.08,71,8,12.08,IE,2022-09-16 00:45:33
30,Desaguadero,-16.5656,-69.0417,47.39,41,4,3.78,PE,2022-09-16 00:45:34
31,Kanigiri,15.4,79.5167,79.72,70,97,12.68,IN,2022-09-16 00:45:34
32,Puerto Ayora,-0.7393,-90.3518,65.55,92,71,1.01,EC,2022-09-16 00:45:35
33,La Ronge,55.1001,-105.2842,66.45,45,40,6.91,CA,2022-09-16 00:45:35
34,Upernavik,72.7868,-56.1549,38.68,97,100,18.79,GL,2022-09-16 00:45:35
35,Kailua,21.4022,-157.7394,85.44,66,75,10.36,US,2022-09-16 00:45:36
36,Ucluelet,48.9329,-125.5528,60.1,82,100,3.0,CA,2022-09-16 00:45:36
37,Kyra,49.5776,111.9753,48.97,82,100,5.21,RU,2022-09-16 00:45:37
38,Alyangula,-13.8483,136.4192,82.78,72,3,10.85,AU,2022-09-16 00:45:37
39,Vila Franca Do Campo,37.7167,-25.4333,76.19,89,95,12.48,PT,2022-09-16 00:45:38
40,Mahebourg,-20.4081,57.7,70.25,78,40,11.5,MU,2022-09-16 00:44:21
41,Ola,59.5833,151.2833,57.15,48,54,2.93,RU,2022-09-16 00:45:38
42,Piacabucu,-10.4056,-36.4344,71.29,80,0,7.14,BR,2022-09-16 00:45:38
